symbol,name,cryptocurrency,currency,summary,exchange,market
EDG-USD,Edgeless USD,EDG,USD,"Edgeless (EDG) is a cryptocurrency and operates on the Ethereum platform. Edgeless has a current supply of 132,046,997 with 122,146,967 in circulation. The last known price of Edgeless is 0.00786356 USD and is down -11.09 over the last 24 hours. It is currently trading on 4 active market(s) with $1,506.69 traded over the last 24 hours. More information can be found at https://edgeless.io/.",CCC,ccc_market
EGLD-CAD,Elrond CAD,EGLD,CAD,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-CNY,Elrond CNY,EGLD,CNY,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-ETH,Elrond ETH,EGLD,ETH,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-EUR,Elrond EUR,EGLD,EUR,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-GBP,Elrond GBP,EGLD,GBP,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-INR,Elrond INR,EGLD,INR,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,674,766 with 17,428,825.16731486 in circulation. The last known price of Elrond is 187.88428266 USD and is up 0.48 over the last 24 hours. It is currently trading on 38 active market(s) with $74,846,015.33 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-JPY,Elrond JPY,EGLD,JPY,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-KRW,Elrond KRW,EGLD,KRW,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-RUB,Elrond RUB,EGLD,RUB,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
EGLD-USD,Elrond USD,EGLD,USD,"Elrond (EGLD) is a cryptocurrency . Elrond has a current supply of 21,645,186 with 17,402,216.72396033 in circulation. The last known price of Elrond is 191.02864717 USD and is up 1.27 over the last 24 hours. It is currently trading on 37 active market(s) with $131,153,584.74 traded over the last 24 hours. More information can be found at https://elrond.com/.",CCC,ccc_market
ELA-CAD,Elastos CAD,ELA,CAD,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,062,559.65732249 with 19,197,964.05240246 in circulation. The last known price of Elastos is 9.4118941 USD and is up 1.32 over the last 24 hours. It is currently trading on 24 active market(s) with $6,272,896.25 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-CNY,Elastos CNY,ELA,CNY,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-ETH,Elastos ETH,ELA,ETH,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-EUR,Elastos EUR,ELA,EUR,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-GBP,Elastos GBP,ELA,GBP,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-INR,Elastos INR,ELA,INR,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-JPY,Elastos JPY,ELA,JPY,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-KRW,Elastos KRW,ELA,KRW,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-RUB,Elastos RUB,ELA,RUB,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
ELA-USD,Elastos USD,ELA,USD,"Elastos (ELA) is a cryptocurrency . Users are able to generate ELA through the process of mining. Elastos has a current supply of 24,046,215.36508579 with 19,186,223.69250625 in circulation. The last known price of Elastos is 8.30965297 USD and is down -3.78 over the last 24 hours. It is currently trading on 24 active market(s) with $9,775,946.23 traded over the last 24 hours. More information can be found at https://elastos.info.",CCC,ccc_market
EMC2-CAD,Einsteinium CAD,EMC2,CAD,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-CNY,Einsteinium CNY,EMC2,CNY,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-ETH,Einsteinium ETH,EMC2,ETH,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-EUR,Einsteinium EUR,EMC2,EUR,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-GBP,Einsteinium GBP,EMC2,GBP,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-INR,Einsteinium INR,EMC2,INR,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-JPY,Einsteinium JPY,EMC2,JPY,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-KRW,Einsteinium KRW,EMC2,KRW,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-RUB,Einsteinium RUB,EMC2,RUB,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
EMC2-USD,Einsteinium USD,EMC2,USD,"Einsteinium (EMC2) is a cryptocurrency . Users are able to generate EMC2 through the process of mining. Einsteinium has a current supply of 221,622,642.49999905. The last known price of Einsteinium is 0.42922925 USD and is down -6.92 over the last 24 hours. It is currently trading on 3 active market(s) with $140,330.72 traded over the last 24 hours. More information can be found at https://www.emc2.foundation/.",CCC,ccc_market
ENJ-BTC,EnjinCoin BTC,ENJ,BTC,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-CAD,EnjinCoin CAD,ENJ,CAD,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-CNY,EnjinCoin CNY,ENJ,CNY,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-ETH,EnjinCoin ETH,ENJ,ETH,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-EUR,EnjinCoin EUR,ENJ,EUR,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-GBP,EnjinCoin GBP,ENJ,GBP,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-INR,EnjinCoin INR,ENJ,INR,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,331,121.3990188 in circulation. The last known price of Enjin Coin is 1.31534073 USD and is up 2.07 over the last 24 hours. It is currently trading on 158 active market(s) with $125,447,648.67 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-JPY,EnjinCoin JPY,ENJ,JPY,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-KRW,EnjinCoin KRW,ENJ,KRW,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-RUB,EnjinCoin RUB,ENJ,RUB,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
ENJ-USD,EnjinCoin USD,ENJ,USD,"Enjin Coin (ENJ) is a cryptocurrency and operates on the Ethereum platform. Enjin Coin has a current supply of 1,000,000,000 with 834,313,756.7192237 in circulation. The last known price of Enjin Coin is 2.53586443 USD and is up 0.81 over the last 24 hours. It is currently trading on 154 active market(s) with $319,926,702.91 traded over the last 24 hours. More information can be found at https://enjin.io/.",CCC,ccc_market
EOS-USD,EOS USD,EOS,USD,"EOS (EOS) is a cryptocurrency . EOS has a current supply of 1,029,298,109.5059 with 953,131,031.2606 in circulation. The last known price of EOS is 8.90670252 USD and is up 21.54 over the last 24 hours. It is currently trading on 476 active market(s) with $9,181,598,207.87 traded over the last 24 hours. More information can be found at https://eos.io/.",CCC,ccc_market
ERK-BTC,EurekaCoin BTC,ERK,BTC,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-CAD,EurekaCoin CAD,ERK,CAD,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-CNY,EurekaCoin CNY,ERK,CNY,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-ETH,EurekaCoin ETH,ERK,ETH,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-EUR,EurekaCoin EUR,ERK,EUR,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-GBP,EurekaCoin GBP,ERK,GBP,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-INR,EurekaCoin INR,ERK,INR,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-JPY,EurekaCoin JPY,ERK,JPY,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-KRW,EurekaCoin KRW,ERK,KRW,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-RUB,EurekaCoin RUB,ERK,RUB,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ERK-USD,EurekaCoin USD,ERK,USD,"Eureka Coin (ERK) is a cryptocurrency . Eureka Coin has a current supply of 149,138,648.1 with 66,502,011.4 in circulation. The last known price of Eureka Coin is 0.02304958 USD and is up 6.72 over the last 24 hours. It is currently trading on 7 active market(s) with $56,171.70 traded over the last 24 hours. More information can be found at https://www.eurekacoin.io.",CCC,ccc_market
ETC-AUD,EthereumClassic AUD,ETC,AUD,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-BTC,EthereumClassic BTC,ETC,BTC,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-CAD,EthereumClassic CAD,ETC,CAD,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-CNY,EthereumClassic CNY,ETC,CNY,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-ETH,EthereumClassic ETH,ETC,ETH,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-EUR,EthereumClassic EUR,ETC,EUR,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-GBP,EthereumClassic GBP,ETC,GBP,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 75.64546468 USD and is up 31.84 over the last 24 hours. It is currently trading on 277 active market(s) with $18,649,027,346.67 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-INR,EthereumClassic INR,ETC,INR,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-JPY,EthereumClassic JPY,ETC,JPY,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-KRW,EthereumClassic KRW,ETC,KRW,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 70.52924479 USD and is down -3.35 over the last 24 hours. It is currently trading on 281 active market(s) with $8,136,069,092.51 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-RUB,EthereumClassic RUB,ETC,RUB,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 127.66382269 USD and is up 4.60 over the last 24 hours. It is currently trading on 277 active market(s) with $19,208,674,461.21 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETC-USD,EthereumClassic USD,ETC,USD,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 127.66382269 USD and is up 4.60 over the last 24 hours. It is currently trading on 277 active market(s) with $19,208,674,461.21 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",CCC,ccc_market
ETH-BTC,Ethereum BTC,ETH,BTC,"Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining. Ethereum has a current supply of 115,748,447.249. The last known price of Ethereum is 3,363.79331068 USD and is down -3.44 over the last 24 hours. It is currently trading on 6358 active market(s) with $56,906,207,070.13 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",CCC,ccc_market
ETH-CAD,Ethereum CAD,ETH,CAD,"Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining. Ethereum has a current supply of 115,809,211.249. The last known price of Ethereum is 3,942.58538843 USD and is up 1.53 over the last 24 hours. It is currently trading on 5438 active market(s) with $50,452,624,669.75 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",CCC,ccc_market
ETH-EUR,Ethereum EUR,ETH,EUR,"Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining. Ethereum has a current supply of 115,789,021.8115. The last known price of Ethereum is 3,564.42544809 USD and is up 2.35 over the last 24 hours. It is currently trading on 5393 active market(s) with $38,633,938,662.39 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",CCC,ccc_market
ETH-GBP,Ethereum GBP,ETH,GBP,"Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining. Ethereum has a current supply of 115,809,211.249. The last known price of Ethereum is 3,942.58538843 USD and is up 1.53 over the last 24 hours. It is currently trading on 5438 active market(s) with $50,452,624,669.75 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",CCC,ccc_market
ETH-USD,Ethereum USD,ETH,USD,"Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining. Ethereum has a current supply of 115,789,021.8115. The last known price of Ethereum is 3,564.42544809 USD and is up 2.35 over the last 24 hours. It is currently trading on 5393 active market(s) with $38,633,938,662.39 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",CCC,ccc_market
ETN-CAD,Electroneum CAD,ETN,CAD,"Electroneum (ETN) is a cryptocurrency . Users are able to generate ETN through the process of mining. Electroneum has a current supply of 17,860,734,571.13. The last known price of Electroneum is 0.02140188 USD and is up 0.24 over the last 24 hours. It is currently trading on 27 active market(s) with $1,794,365.73 traded over the last 24 hours. More information can be found at http://electroneum.com/.",CCC,ccc_market
