symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
2981.T,Landix Inc.,"Landix Inc. engages in the real estate matching/consulting, custom housing matching/consulting, real estate development, and real estate tech platform development/operation businesses in Japan. The company was founded in 2001 and is headquartered in Tokyo, Japan.",JPY,Real Estate,Real Estate,Real Estate Management & Development,JPX,XJPX,Tokyo Stock Exchange,Japan,,Tokyo,154-0014,http://landix.jp,Nano Cap,,,,,,False
2982.T,"A.D. Works Group Co., Ltd.","A.D. Works Group Co., Ltd. operates in the real estate business. It engages in the real estate leasing and sale activities. The company is also involved in the provision of property management and real estate consulting services, as well as in the real estate tech business. In addition, it offers renovation and repair services. The company was founded in 1886 and is based in Tokyo, Japan.",JPY,Real Estate,Real Estate,Real Estate Management & Development,JPX,XJPX,Tokyo Stock Exchange,Japan,,Tokyo,100-0011,http://www.adwg.co.jp,Micro Cap,,,,,,False
2983.T,"Arr Planner Co., Ltd.","Arr Planner Co., Ltd. engages in the custom-built housing and real estate businesses in Japan. It builds and sells customized homes; and new detached houses. The company also offers remodeling and renovation, exterior, housing rental, used house regeneration, and commercial architectural design services. In addition, it provides real estate property buying, selling, and brokerage services. The company was founded in 2003 and is headquartered in Nagoya, Japan.",JPY,Real Estate,Real Estate,Real Estate Management & Development,JPX,XJPX,Tokyo Stock Exchange,Japan,,Nagoya,461-0005,http://www.arrplanner.co.jp,Nano Cap,,,,,,False
2984.T,Yamaichi Uniheim,,,,,,JPX,XJPX,,Japan,,,,,,,,,,,False
2987.T,TASUKI Corporation,"TASUKI Corporation develops apartments and condominiums, urban hotels, resort hotels, and licensed nurseries in Japan. It also develops and operates Taski DayPay, a prepaid prepayment service; and Tuski Funds, an online complete small-scale real estate investment service. The company was founded in 2013 and is headquartered in Tokyo, Japan.",JPY,Real Estate,Real Estate,Real Estate Management & Development,JPX,XJPX,Tokyo Stock Exchange,Japan,,Tokyo,107-0061,http://tasukicorp.co.jp,Micro Cap,,,,,,True
2993.T,Choei,,,,,,JPX,XJPX,,Japan,,,,,,,,,,,False
3001.T,"Katakura Industries Co.,Ltd.","Katakura Industries Co.,Ltd. engages in the textile, pharmaceutical, machinery, real estate, and life solutions businesses in Japan. The company manufactures and sells undergarments, hosiery products, aprons, and relaxing garments, as well as various functional fibers, such as the water-soluble fiber solvron and the thermal resistant NITIVY ALF. It also engages in the manufacture and sale of pharmaceuticals for treating cardiovascular illnesses comprising Frandol for the treatment of angina pectoris; and Frandol Tape, a heart medicine. In addition, the company manufactures and sells environment-related equipment (washers) and cutting oilÂrelated products, fire engines and firefighting-related equipment, and agricultural machinery, as well as car parts. Further, it provides commercial facility management services; and leases and develops various real estate lands. Additionally, the company offers agriculture-related products, food products, nursing care equipment, and general building maintenance and flower/tree planting services, as well as operates plant and pet specialty shops. The company was formerly known as Katakura Silk Spinning Co., Ltd. and changed its name to Katakura Industries Co.,Ltd. in November 1943. Katakura Industries Co.,Ltd. was founded in 1873 and is headquartered in Tokyo, Japan.",JPY,Industrials,Capital Goods,Industrial Conglomerates,JPX,XJPX,Tokyo Stock Exchange,Japan,,Tokyo,104-8312,http://www.katakura.co.jp,Small Cap,,,,,,False
3002.T,Gunze Limited,"Gunze Limited engages in the functional solutions, apparel, and lifestyle creations businesses in Japan. It offers plastic films comprising shrink films, flexible multilayer sheets, functional and multilayer film tubings, opp films, and nylon films, as well as consulting services related to comprehensive package system; engineering plastics, such as small-diameter fluoro resin heat-shrinkable tubes, thin-walled fluoro resin tubes, fiber products, films and sheets, and seamless belts; electronic components, including various touch screens and functional films, as well as commissioned manufacturing services; and medical materials consisting of bioabsorbable surgical suture threads, bone fixation devices, artificial dermis, absorbable reinforcement felt, and medical stockings. The company also provides equipment for packaging and film wrapping, post-press of printing, and pharmaceuticals and cosmetics, as well as equipment for dairy, beverage, and food products; innerwear, legwear, nightwear, and home casual wear products for physical and mental relaxation; and threads and accessories, such as sewing threads for clothing, industrial materials, and automotive applications. In addition, it operates 22 Gunze sports clubs, and fitness studios, spas, and junior schools; sells plant materials and nursery trees, flowers, and gardening products; develops commercial facilities; leases shopping complexes, housing, and office buildings; and offers technology, equipment, and funds energy conservation, as well as thermal insulation materials and solar power generation systems. The company was formerly known as Gunze Silk Manufacturing Co., Ltd. and changed its name to Gunze Limited in 1967. Gunze Limited was founded in 1896 and is headquartered in Ayabe, Japan.",JPY,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",JPX,XJPX,Tokyo Stock Exchange,Japan,,Ayabe,623-8511,http://www.gunze.co.jp,Small Cap,,,,,,False
3003.T,"Hulic Co., Ltd.","Hulic Co., Ltd. engages in the investment, development, rental, sale, and brokerage of real estate properties in Japan. The company operates through two segments, Real Estate and Insurance. Its property portfolio includes office buildings, commercial buildings, residential and retail properties, hotels, and others. As of December 31, 2019, the company had a portfolio of approximately 254 lease properties. It also engages in the asset management and insurance agency businesses. Hulic Co., Ltd. was founded in 1957 and is headquartered in Tokyo, Japan.",JPY,Real Estate,Real Estate,Real Estate Management & Development,JPX,XJPX,Tokyo Stock Exchange,Japan,,Tokyo,,http://www.hulic.co.jp,Mid Cap,,,,,,False
3004.T,Shinyei Kaisha,"Shinyei Kaisha engages in the apparel and textiles, foodstuffs, general merchandise, and electronics businesses worldwide. It provides a range of clothing products for men, women, and children; legwear products; and fabrics for clothing and industrial applications. The company is also involved in the retail sale of apparel and fashion accessories. In addition, it offers frozen and fresh vegetables, frozen processed foods, and frozen marine products; and peanuts and nuts, spices, and additives. Further, the company provides consulting and materials supply related to disaster prevention; exports construction machinery, ball bearings, and testing machinery and sensors; sells casting products, filaments and brush products, household products and related materials, and architectural hardware and materials for apartments and condominiums; and handles ball bearings, testing machinery, and other commercial materials. Additionally, it offers real estate management and brokerage services; sells electronic equipment, electronic components, and other commodities, as well as insurance policies; develops, produces and sells sensors and measuring instruments, testing machinery, and capacitors; provides consulting for testing and measurement; and engages in research and development for agriculture-related business. The company was formerly known as Shinyei Kiito Kaisha and changed its name to Shinyei Kaisha in August 1966. Shinyei Kaisha was founded in 1887 and is headquartered in Kobe, Japan.",JPY,Industrials,Capital Goods,Industrial Conglomerates,JPX,XJPX,Tokyo Stock Exchange,Japan,,Kobe,651-0178,http://www.shinyei.co.jp,Nano Cap,,,,,,False
3011.T,"Banners Co., Ltd.","Banners Co., Ltd. engages in the real estate, and musical instruments and automobile sales businesses in Japan. The company creates and rents tenants and stores; and sells Honda cars and related non-life insurance products. It also imports and sells oboe and bassoon through a specialty store of double reed musical instruments; and provides maintenance and after-sales services for musical instruments customers. Banners Co., Ltd. was founded in 1950 and is headquartered in Kumagaya, Japan.",JPY,Consumer Discretionary,Automobiles & Components,Automobiles,JPX,XJPX,Tokyo Stock Exchange,Japan,,Kumagaya,360-0816,http://www.banners.jp,Nano Cap,,,,,,False
3020.T,"Applied Co.,Ltd.","Applied Co.,Ltd. sells personal computers, peripheral equipment, and digital products in Japan. It is also involved in the planning, development, manufacture, sale, and wholesale of private brand PCs and digital products. The company also engages in the procurement, advertising, and sale of products of other manufacturers. In addition, it provides network system construction and maintenance, and remote services. The company was founded in 1977 and is headquartered in Fukuoka City, Japan.",JPY,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",JPX,XJPX,Tokyo Stock Exchange,Japan,,Fukuoka City,812-0007,http://www.applied-g.jp,Micro Cap,,,,,,False
3023.T,Rasa Corporation,"Rasa Corporation, a trading company, engages in supplying resources, metallic materials, industrial machinery, construction equipment, and other products in Japan. The company imports mineral sand products, such as zircon sand, rutile sand, ilmenite, etc.; and industrial materials, including phosphoric acid, anhydrous phosphoric acid, phosphorous acid, second phosphorus finished goods, malp, aluminum hydroxide, polychlorinated aluminum, aluminum sulfate, metallic manganese, metallic silicon and nickel, talc, China clay, silica, boron carbide, electrolytic manganese, etc. It also imports refractory raw materials comprising stabilized zirconia, fused zirconia mullite, zirconium oxychloride, silica sand, black lead like natural scale, spherical graphite, silicon carbide, brown and white alumina, TEL magnesia and spin flannel, melted silica, silica flower, temporary scorch alumina, brick crushing, boron carbide, sillimanite, etc. In addition, the company supplies industrial machineries, including pumps, valves, mixers, crushers, strainers, cyclones, pressure washers, etc.; and construction equipment, such as pipe jacking machines, hand held gas powered breakers, pipe cutting machines, concrete pumps/mixers, mini crawler cranes, etc. Further, it supplies environmental equipment comprising RASA slag granulation systems and PARA-ECO-recycling systems. Additionally, the company is involved in the supply of plastic resins and chemical products; manufacture of various plastic compounds and masterbatches, including PVC compounds; plant engineering and construction activities; and corporate real estate business. It also exports its products to China, Korea, Taiwan, and Australia. Rasa Corporation was founded in 1939 and is headquartered in Tokyo, Japan.",JPY,Materials,Materials,Metals & Mining,JPX,XJPX,Tokyo Stock Exchange,Japan,,Tokyo,,http://www.rasaco.co.jp,Micro Cap,,,,,,False
3024.T,Create Corporation,"Create Corporation, together with its subsidiaries, engages in the wholesale of plumbing materials under the TORO brand in Japan. The company offers plumbing fittings and water taps, water supply pipe equipment, and drainage pipe equipment; and housing equipment, such as air-conditioners. It is also involved in the import of iron castings; sale of drainage pipe fittings and drainage implements; construction and package of drainage implements; processing and production of resinous plumbing systems; construction; interior finishing works; and buildings design and building materials sales activities. The company was formerly known as Fukui Kazuo Shoten Co., Ltd. and changed its name to Create Corporation in April 1993. Create Corporation was founded in 1916 and is headquartered in Osaka, Japan.",JPY,Industrials,Capital Goods,Building Products,JPX,XJPX,Tokyo Stock Exchange,Japan,,Osaka,,http://www.cr-net.co.jp,Nano Cap,,,,,,False
3028.T,"Alpen Co.,Ltd.","Alpen Co., Ltd. engages in the manufacture and retail sale of sporting and leisure equipment in Japan. It offers ski equipment; and other sporting goods equipment, including golf, tennis, marine sports, baseball, etc. The company's products include general sports goods and apparel, sports casual apparel, helmets, hats, skis, ski bags, snowboards, snowshoes, snow goggles, sunglasses, and other accessories. It also offers tents, sun shelters, sleeping gears, furniture, lighting equipment, burning/combustion appliances, cooking supplies, sacks, bags, trekking wear, rainwear, outdoor tools, and trekking tools, as well as golf wear, trousers, polo shirts clubs, bags, shoes, balls, hats, sun visors, and accessories. In addition, the company provides winter products, including snowboard binding, board boots, goggles, bag accessories, tune up tools, deck pads, ski boards, ski boots, ski poles, board wear, ski wears, knitted hats, gloves, inner wears, and fleece wears; and casual products, such as down wears, parkers, sweat shirts, jackets, denim pants, T-shirts, tank tops, high-neck shirts, pants, cut and sew apparel, skirts, ensemble, dresses, scarves, gloves, and track jackets. Further, it offers marine sport products comprising rash guards, swimsuits, sandals, and beach sandals; and accessories consisting of belts, tool sets, knick-knacks, stickers, badges, mobile phone goods, socks, chairs, wristbands, key holders, knives, pet bottle carrying cases, tote bags, shoulder bags, coin cases, pouches, wallet chains, chains, and negative ion rings. Additionally, it manages ski resorts, golf courses, and fitness clubs. The company operates primarily under the IGNIO, TIGORA, FABLICE, Hart, Folio, KAZAMA, Southfield, TOBUNDA, Coraggio, Kolwin, Fitway, and Kissmark brand names. As of June 30, 2020, it operated 144 stores under the Alpen and Sports Depot; and 196 stores under the Golf 5 name. Alpen Co., Ltd. was founded in 1972 and is headquartered in Nagoya, Japan.",JPY,Consumer Discretionary,Retailing,Specialty Retail,JPX,XJPX,Tokyo Stock Exchange,Japan,,Nagoya,460-8637,http://store.alpen-group.jp,Small Cap,,,,,,False
3031.T,"RACCOON HOLDINGS, Inc.","RACCOON HOLDINGS, Inc. creates and provides infrastructure for BtoB transactions in Japan. It operates SUPER DELIVERY, a wholesale purchasing site for manufacturers of apparel and general good, and businesses, such as retail stores, restaurants, or hair salons; COREC, a cloud-based ordering system; and SD Export for developing overseas market. The company also offers Paid, a BtoB payment service; accounts receivables guarantee services; guaranteed online services for small and medium-sized business; and rents guarantee services for individuals and business use for offices or stores. The company was formerly known as Raccoon Co., Ltd. and changed its name to RACCOON HOLDINGS, Inc. in November 2018. RACCOON HOLDINGS, Inc. was founded in 1993 and is based in Tokyo, Japan.",JPY,Consumer Discretionary,Retailing,Internet & Direct Marketing Retail,JPX,XJPX,Tokyo Stock Exchange,Japan,,Tokyo,103-0014,http://www.raccoon.ne.jp,Small Cap,,,,,,False
3034.T,"Qol Holdings Co., Ltd.","Qol Holdings Co., Ltd., together with its subsidiaries, engages in dispensing pharmacy and business process outsourcing contracting businesses in Japan. The company operates dispensing pharmacies through one-on-one store opening based on one-on-one trust relationships with medical institutions. It also undertakes sales and marketing research activities for pharmaceutical companies; and provides temporary staff dispatch for pharmacists, nurses, registered sellers, registered dietitians, etc. In addition, the company offers clinical trial support services for pharmaceuticals and food products; support, monitoring, and technician dispatch services of managers for various processes, from planning of trial execution plans to monitoring, secretariat support, statistical analysis, and the presentation of conference papers; and publishing related services. The company was formerly known as Qol Co., Ltd. and changed its name to Qol Holdings Co., Ltd. in October 2018. Qol Holdings Co., Ltd. was founded in 1992 and is headquartered in Tokyo, Japan.",JPY,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,JPX,XJPX,Tokyo Stock Exchange,Japan,,Tokyo,105-8452,http://www.qolhd.co.jp,Small Cap,,,,,,False
