symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
ALUR,Allurion Technologies Inc. Common Stock,Allurion Technologies Inc. is a medical technology company focused on developing and commercializing innovative solutions for weight loss. The company provides a weight loss program that features a procedure-less gastric balloon.,USD,Health Care,Health Care Equipment & Services,,OQB,OTCM,OTC Bulletin Board,United States,,,,,Nano Cap,,02008G201,BBG01HPVRLS9,BBG01HPVRLS9,BBG01HPVRLV5,False
AUMN,Golden Minerals Company,"Golden Minerals Company, a precious metals exploration company, mines, constructs, and explores for mineral properties containing precious metals. It explores for gold, silver, zinc, lead, and other minerals. The company holds a 100% interest in the Rodeo property situated in Durango State, Mexico; and a 100% interest in the Velarde√É¬±a and Chicago precious metals mining properties and associated oxide and sulfide processing plants located in the State of Durango, Mexico. It also holds a 100% interest in the El Quevar advanced exploration silver property situated in the province of Salta, Argentina; and diversified portfolio of precious metals and other mineral exploration properties located in Argentina, Nevada, and Mexico. The company was formerly known as Apex Silver Mines Limited and changed its name to Golden Minerals Company in March 2009 as a result of reorganization. Golden Minerals Company was founded in 1996 and is headquartered in Golden, Colorado.",USD,Materials,Materials,Metals & Mining,OQB,OTCM,OTC Bulletin Board,United States,CO,Golden,80401,http://www.goldenminerals.com,Nano Cap,US3811191069,381119106,BBG000LKCT95,BBG000LKCT40,BBG001SSGJB4,False
FWONB,Formula One Group,"Formula One Group, together with its subsidiaries, engages in the motorsports business in the United States, the United Kingdom, Spain, and internationally. The company holds commercial rights for the Fédération Internationale de l'Automobile (FIA) Formula One World Championship, an annual nine-month long motor race-based competition in which teams compete for the Constructors' championship and drivers compete for the Drivers' championship. It is also involved in filming, television production and post-production, and digital and social media activities; provision of freight, logistical, and travel related services, as well as technical support at Formula 1 events; production of the international television feed; and operation of the Formula 1 Paddock Club hospitality program, F2 and F3 race series, and F1 Academy. The company was founded in 1950 and is headquartered in Englewood, Colorado. Formula One Group operates as a subsidiary of Liberty Media Corporation.",USD,,,,OQB,OTCM,OTC Bulletin Board,United States,,,,,,,,BBG01HN2W3J9,BBG01HN2W3J9,BBG01HN2W4C4,False
OWPC,"One World Products, Inc.","One World Products, Inc. engages in the provision of renewable and sustainable materials. It processes rubber, cellulose, hemp, and a range of bio-feedstocks into composites for automotive, industrial, and food packaging. The company was founded in 2018 and is headquartered in Las Vegas, Nevada.",USD,,,,OQB,OTCM,OTC Bulletin Board,United States,,,,,,,,BBG007LSY2L4,BBG007LSY2L4,BBG007LSY2M3,False
RBOT,Vicarious Surgical Inc. Class A Common Stock,"Vicarious Surgical Inc. is a medical technology company focused on developing a surgical robot that combines human-like dexterity with enhanced vision to improve minimally invasive surgery; the company is headquartered in Waltham, Massachusetts.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,OQB,OTCM,OTC Bulletin Board,Hong Kong,,,,,Nano Cap,,92561V208,BBG00VSHDVP3,BBG00VSHDVP3,BBG00VSHDVQ2,False
SBDS,Solo Brands Inc. Class A Common Stock,,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",OQB,OTCM,OTC Bulletin Board,United States,,,,,Nano Cap,,83425V203,BBG012TKHKJ5,BBG012TKHKJ5,BBG012TKHLF7,False
