symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
EGSER.IS,Ege Seramik Sanayi ve Ticaret A.S.,"Ege Seramik Sanayi ve Ticaret A.S. produces and sells floor and wall ceramic tiles in Turkey and internationally. The company also provides glazed porcelain. It offers its products in various materials, such as wood, marble and stone, concrete, textile, brick, vintage, mosaics, mini tiles, and decorative products for used in bathroom, kitchen, corridor, garden, commercial, and industrial areas. The company was incorporated in 1972 and is headquartered in Kemalpasa, Turkey. Ege Seramik Sanayi ve Ticaret A.S. is a subsidiary of Ibrahim Polat Holding A.S.",TRY,Industrials,Capital Goods,Building Products,IST,XIST,Borsa Istanbul,Turkey,,Kemalpasa,35730.0,http://www.egeseramik.com,Micro Cap,,,BBG000BWH1C2,BBG000BWH0Y0,BBG001S77K63,False
EKGYO.IS,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,"In 1953, a mentality that would lead the urbanization efforts of a country and improve the people's life quality was born. In that year, Emlak Konut, the deep-rooted brand of the construction industry, started its journey of success. The corporate vision was decided to build environmentally conscious modern cities that add comfort to human life. With this purpose, Emlak Konut became the architect of many innovative practices in the industry. Emlak Konut delivered many projects leaving a good example and traces for planned urbanization in our country. It built the most innovative neighborhoods of its era with projects so large that even their surroundings were named after them. This stable growth brought up a significant milestone as well. In 2002, Emlak Konut turned into a real estate investment company. This transformation was the herald for the giant projects, barnburners and becoming an even bigger company. After the establishment of the real estate investment company, Emlak Konut initiated 139 new projects that would have a broad effect on the world, embody environmentally conscious technologies and add value to cities. The number of units built and tendered since 2003 has reached 129.000 Emlak Konut went public twice, crowning its fast growth and taking its targets to wider horizons. The initial public offering which took place in 2010, ranked among the top 5 public offerings in the Republic's history. The second one, in 2013, became the greatest real estate public offering in the last 5 years in Europe. Growing with public offerings, Emlak Konut strengthens its place among the largest companies in Turkey with its paid-in capital of TRY 3,8 billion and its total value of assets of TRY 24,8 billion. Since its foundation, Emlak Konut has been taking firm steps towards the future with its increasing momentum, human-oriented corporate culture and its latest state. It is getting closer and closer to its goal of becoming Turkey's pride as a global player in the world.",TRY,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34738.0,http://www.emlakkonut.com.tr,Small Cap,,,BBG000R464K4,BBG000R464G9,BBG001T93NF6,False
EKIZ.IS,Ekiz Kimya Sanayi ve Ticaret Anonim Sirketi,"Ekiz Kimya Sanayi ve Ticaret Anonim Sirketi engages in the production and sale of olive oil products in Egypt. The company provides natural extra virgin, natural first, organic extra virgin, and refined olive oil, as well as Riviera olive oil. It offers its products under the Belluti, Dona Elena, Healthy You, and Kantarli brand names. The company was formerly known as Ekiz Yag ve Sabun Sanayii A.S. and changed its name to Ekiz Kimya Sanayi ve Ticaret A.S. in September 2014. Ekiz Kimya Sanayi ve Ticaret Anonim Sirketi was founded in 1946 and is based in Izmir, Turkey.",TRY,Consumer Staples,Household & Personal Products,Household Products,IST,XIST,Borsa Istanbul,Turkey,,Izmir,35230.0,http://www.ekizkimya.com,Nano Cap,,,,,,False
EMKEL.IS,Emek Elektrik Endustrisi Anonim Sirketi,"Emek Elektrik Endustrisi Anonim Sirketi manufactures and sells transformers, disconnectors, epoxy resin, and silicone composite products in Turkey. It offers oil immersed and epoxy resin current and voltage transformers, disconnectors with and without earthing switches, insulators, components, grading and coupling capacitors, and phase earthing switches. The company also exports its products to 118 countries. Emek Elektrik Endustrisi Anonim Sirketi was founded in 1969 and is headquartered in Ankara, Turkey.",TRY,Industrials,Capital Goods,Electrical Equipment,IST,XIST,Borsa Istanbul,Turkey,,Ankara,6750.0,http://www.emek.com.tr,Nano Cap,,,BBG000BFXHN4,BBG000BFXHG2,BBG001S72H83,False
EMNIS.IS,Eminis Ambalaj Sanayi ve Ticaret A.S.,"Eminis Ambalaj Sanayi ve Ticaret A.S. manufactures and sells plastic and metal packaging solutions in Turkey and internationally. Its products are used for paints, glues, lube oils, chemicals, ice creams, yoghurts, cheese, frozen foods, honey, jams, olives, hazelnut cocoa-butter, candies, spices/powder, drinks, hair gel, and cosmetic products. The company serves for paint, chemicals, and food sectors. The company was founded in 1970 and is based in Dilovasi, Turkey.",TRY,Consumer Discretionary,Retailing,Distributors,IST,XIST,Borsa Istanbul,Turkey,,Dilovasi,41455.0,http://www.eminisambalaj.com,Nano Cap,,,BBG000G0STS7,BBG000G0STG0,BBG001S8PWD7,False
ENJSA.IS,Enerjisa Enerji A.S.,"Enerjisa Enerji A.S. operates as an electricity distribution and retail company in Turkey. The company operates through two segments, Electricity Distribution and Retail. It engages in the transmission of electricity over lines to the end users through distribution networks, as well as retail sale of electricity. As of December 31, 2020, the company had 11.4 million distribution network connections and 10.1 million customers of retail electricity market. It also provides marketing, energy management, and energy consultancy services. The company was founded in 1996 and is headquartered in Istanbul, Turkey.",TRY,Utilities,Utilities,Electric Utilities,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34748.0,http://www.enerjisa.com.tr,Small Cap,,,BBG00JPW86Z0,BBG006H157K2,BBG006H157L1,False
ENKAI.IS,Enka Insaat ve Sanayi A.S.,"Enka Insaat ve Sanayi A.S., together with its subsidiaries, operates as a construction company in Turkey, Russia, Kazakhstan, Georgia, Iraq, and internationally. It operates through four segments: Construction, Rental, Energy, and Trading and Manufacturing. The company engages in the construction of industrial and social buildings, and motorways; construction and operation of natural gas fired electrical energy generation facilities; and investment in and development of real estate properties and shopping malls. It is also involved in the marketing and after-sale service of construction machineries, trucks, industrial products, and spare parts; manufacturing of structural steel works; installation and establishment of the technical equipment; and excavation backfilling works and quarrying crushing operation of highway projects. In addition, the company engages in the pile dwelling work; base and superstructure construction; slip form and construction of drilling and ground surveys; organization of conventions and seminars; tour reservations and tickets sales; production of ready-mixed concrete; production and sale of electricity; repair and maintenance of power plants; and provision of architectural design and air transportation services, as well as trading activities. Further, it is involved in various activities, such as material handling and storage systems, auxiliary facilities, water treatment and environmental engineering, infrastructure and construction, control systems, and instrumentation engineering activities. Enka Insaat ve Sanayi A.S. was founded in 1957 and is headquartered in Istanbul, Turkey.",TRY,Industrials,Capital Goods,Construction & Engineering,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34349.0,http://www.enka.com,Mid Cap,,,BBG000LX2P96,BBG000LX2NJ0,BBG001SK61H5,False
EPLAS.IS,Egeplast Ege Plastik Ticaret ve Sanayi Anonim Sirketi,"Egeplast Ege Plastik Ticaret ve Sanayi Anonim Sirketi manufactures and sells plastic pipes, fittings, and spare parts in Turkey and internationally. It offers building group systems, which include waste water pipes and fittings, PPRC sanitary pipes and fittings, PVC rain gutters and down pipes, and heating system pipes and fittings; and infrastructure group systems, such as PVC-U pressure pipe systems, PVC-U sewer pipes and fittings, EGE corrugated pipes, polyethylene (PE) pipes and fittings, natural gas pipes and fittings, drainage pipes and fittings, and HDPE corrugated and PE telecommunication systems. The company also provides agricultural group systems that consists of polyethylene pipe irrigation systems and drip irrigation systems. Egeplast Ege Plastik Ticaret ve Sanayi Anonim Sirketi was founded in 1973 and is headquartered in Izmir, Turkey.",TRY,Industrials,Capital Goods,Building Products,IST,XIST,Borsa Istanbul,Turkey,,Izmir,10003.0,http://www.egeplast.com.tr,Nano Cap,,,BBG000C4HBT3,BBG000C4HBB2,BBG001S7XXJ2,False
ERBOS.IS,Erbosan Erciyas Boru Sanayii ve Ticaret A.S.,"Erbosan Erciyas Boru Sanayii ve Ticaret A.S. produces and trades in carbon steel tubes and pipes in Turkey. It offers welded steel black pipes and galvanized pipes used in building heating, mechanical installations, and plumbing and ventilation systems; gas and line pipes used in LPG installation, boiler tubes for drilling lines, as well as natural gas, petroleum and gas line projects; sprinkler pipes used for sprinkler systems and fire protection. The company also provides industrial tubes and hollow sections for use in automotive, home appliances, furniture, greenhouse, construction, and transportation industries, as well as fence, industry and building, and solar energy systems. Erbosan Erciyas Boru Sanayii ve Ticaret A.S. was founded in 1974 and is headquartered in Kayseri, Turkey.",TRY,Industrials,Capital Goods,Building Products,IST,XIST,Borsa Istanbul,Turkey,,Kayseri,38002.0,http://www.erbosan.com.tr,Micro Cap,,,BBG000BHB2H4,BBG000BHB104,BBG001S68H07,False
EREGL.IS,Eregli Demir ve Celik Fabrikalari T.A.S.,"Eregli Demir ve Ãelik Fabrikalari T.A.S., together with its subsidiaries, produces and sells iron and steel rolled products, alloyed and non-alloyed iron, steel and pig iron castings, cast and pressed products, coke, and by-products in Turkey and internationally. The company's flat products include hot rolled flat steel products, cold-rolled flat steel products, and galvanized/galvanealed flat steel products; and tin/chrome coated flat steel products used in metal packaging industry. It also provides various byproducts, including motor benzole, pure benzole, toluol, xylol, crude tar, ammonium sulphate, iron sulphate, and granulated high furnace slag. In addition, the company offers port services, such as loading and unloading, maritime, third party, warehouse, liquid and solid waste collection, maritime police, and customs and customs enforcement services. It primarily serves automotive, white goods, construction, pipes and tubes, rolling, general machinery and manufacturing, household appliance, heat and pressure vessel equipment, electrics-electronics, mechanical engineering, energy, shipbuilding, defense, and packaging industries. The company was founded in 1960 and is headquartered in Istanbul, Turkey.",TRY,Materials,Materials,Metals & Mining,IST,XIST,Borsa Istanbul,Turkey,,Istanbul,34746.0,http://www.erdemir.com.tr,Mid Cap,,,BBG000BVCBJ0,BBG000BVCB64,BBG001S749Y0,False
