symbol,name,summary,currency,sector,industry_group,industry,exchange,mic,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi,delisted
7189.F,Nishi-Nippon Financial HoldingsInc.,"Nishi-Nippon Financial HoldingsInc. is a financial services group in Japan. The company provides banking, leasing, and other financial services to individuals and businesses. Nishi-Nippon Financial Holdings is headquartered in Fukuoka, Japan.",JPY,Financials,Banks,,FKA,XFKA,Fukuoka Stock Exchange,Japan,,,,,,,,BBG00DQLMP33,BBG00DQLMKP0,BBG00DQLMKR8,False
7441.F,"Misumi Co., Ltd.","Misumi Co., Ltd. provides energy, lifestyle, and food and beverages related products and services in Japan. The company's Energy segment is involved in the wholesale and retail of gasoline, light oil, crude petroleum, lubricants, and other oil related products and LPGs; and provision of delivery services for LPG, as well as construction and inspection services for pressure gas facilities. Its Lifestyle segment engages in the sale of books, CDs, TV games, PCs, and cellular phones; provision of DVD and CD rental services; sale of houses; sale, maintenance, and inspection of cars; and management of commercial complexes, as well as sale of tires. The company's Food & Beverage segment is involved in the management of food chain business; and production and sale of mineral water. The company also manages golf courses; and offers public relations agency services. Misumi Co., Ltd. sells its products through gas stations, service stations, auto gas service stations, store fronts, and outlets. The company was formerly known as Misumi Petroleum Gas Co., Ltd. and changed its name to Misumi Co., Ltd. in April 1989. Misumi Co., Ltd. was founded in 1959 and is headquartered in Kagoshima, Japan.",JPY,Industrials,Capital Goods,Machinery,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Kagoshima,,http://kk-misumi.jp,Micro Cap,,,BBG000F2F7B4,BBG000F2F4D9,BBG001S8GCM1,False
7894.F,"Maruto Sangyo Co., Ltd.","Maruto Sangyo Co., Ltd. manufactures and sells laminated films in Japan. The company engages in photogravure printing and bag making; photogravure cylinder making; and sale of paper packaging, packing paper, label stickers, plastic molding products and packing materials, packaging and industrial machinery, agricultural related materials, and horticultural equipment. It also imports and exports packaging materials; designs, constructs, and sells synthetic resin floor materials; installs machinery and appliances; plans, produces, and sells advertising; and provides package design and advertising agency services. Maruto Sangyo Co., Ltd. was founded in 1939 and is headquartered in Fukuoka, Japan.",JPY,Consumer Discretionary,Retailing,Distributors,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Fukuoka City,838-0112,http://www.marutosangyo.co.jp,Nano Cap,,,BBG000C3MDH8,BBG000C3MB64,BBG001S7WD16,False
8398.F,"The Chikuho Bank, Ltd.","The Chikuho Bank, Ltd. provides various banking products and services to individual and corporate customers in Japan. The company offers deposits, certificates of deposits, loans, financing, fund management, and management support services. As of September 30, 2020, it operated 44 branches. The company was founded in 1952 and is headquartered in Kurume, Japan.",JPY,Financials,Banks,Banks,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Kurume,830-0037,http://www.chikugin.co.jp,Micro Cap,,,BBG000BHZGH7,BBG000BHZCR5,BBG001S6CL67,False
8399.F,Bank of The Ryukyus Limited,,JPY,,,,FKA,XFKA,Fukuoka Stock Exchange,Japan,,,,,,,,BBG000BJ4Y06,BBG000BJ4TZ9,BBG001S6C7C1,False
8540.F,"The Fukuoka Chuo Bank, Ltd.","The Fukuoka Chuo Bank, Ltd. provides financial services in Japan. The company's deposit products include time deposits and foreign currency deposits; and loan products comprise education, renovation, housing, auto, and apartment loans, as well as real estate secured loans. It also provides mortgage consultation; financing and management consultation; life insurance and non-life insurance; asset management consultation; loan and business consultation; and foreign exchange services. In addition, the company offers debit cards, IC cash cards, and Internet and mobile banking services. It operates through 41 branches. The company was founded in 1951 and is headquartered in Fukuoka, Japan.",JPY,Financials,Banks,Banks,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Fukuoka,,http://www.fukuokachuo-bank.co.jp,Micro Cap,,,,,,False
8554.F,"The Minami-Nippon Bank,Ltd.","The Minami-Nippon Bank,Ltd. provides various banking products and services to individual and corporate customers in Japan. The company accepts savings, ordinary, time, and reserve time, periodic, and foreign currency deposits; and certificates of deposit. Its loan products include card, free, car, education, and business loans. The company also offers investment trusts and government bonds; life and non-life insurance, and pension products; cash and debit cards; payroll transfer/automatic pension receipt; online fund transfer; and other services, as well as rating agency, fund management, security, and internet and mobile banking services. In addition, it provides leasing; and transport and security services. The company operates 64 branches. The Minami-Nippon Bank,Ltd. was founded in 1913 and is headquartered in Kagoshima, Japan.",JPY,Financials,Banks,Banks,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Kagoshima,,http://nangin.jp,Nano Cap,,,BBG000BJ0CN3,BBG000BJ08Y0,BBG001S6CLR4,False
8559.F,"The Howa Bank, Ltd.","The Howa Bank,Ltd. provides various banking products and services to individuals and businesses in Japan. It offers time deposits, mutual funds, and government bonds; housing, reform, card, education, and auto loans; and personal pension, one-time lifetime, life, medical, and fire insurance products. The Howa Bank,Ltd. was founded in 1948 and is based in Oita, Japan.",JPY,Financials,Banks,Banks,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Oita,,http://www.howabank.co.jp,Nano Cap,,,BBG000BMTNP9,BBG000BMTM62,BBG001S6P835,False
8560.F,"The Miyazaki Taiyo Bank, Ltd.","The Miyazaki Taiyo Bank, Ltd. provides various banking products and services for individual and corporate customers primarily in Japan. The company operates through Banking, and Lease and Guarantee Business segments. It offers deposit, lending, domestic exchange, foreign exchange, and other incidental business services. The company also provides comprehensive leasing and guarantee services, such as personal loans, as well as engages in the venture capital business. It operates through 52 branches. The company was formerly known as K.K. Miyazaki Sogo Ginko and changed its name to The Miyazaki Taiyo Bank, Ltd. in February 1989. The Miyazaki Taiyo Bank, Ltd. was founded in 1941 and is headquartered in Miyazaki, Japan.",JPY,Financials,Banks,Banks,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Miyazaki,,http://www.taiyobank.co.jp,Nano Cap,,,BBG000BMVP53,BBG000BMVL43,BBG001S6PCH1,False
8968.F,Fukuoka REIT Corporation,"Fukuoka REIT Corporation is a Japanese real estate investment trust (REIT) focused on investing in properties located in the Fukuoka region of Japan. They aim to provide stable income and long-term growth to their investors through a diversified portfolio of real estate assets. The REIT is managed by a separate asset management company and is based in Fukuoka, Japan.",JPY,Real Estate,Real Estate,,FKA,XFKA,Fukuoka Stock Exchange,Japan,,,,,,,,BBG000BYLGW8,BBG000BYLCT1,BBG001SJS3M4,False
8996.F,"HouseFreedom Co.,Ltd.","HouseFreedom Co.,Ltd. engages in the construction of newly detached homes in Japan. The company also leases real estate properties, as well as provides real estate brokerage services. In addition, it offers non-life insurance agency services, such as fire and earthquake insurance; and engages in the nursing care and construction contract businesses. The company was founded in 1995 and is headquartered in Matsubara, Japan.",JPY,Real Estate,Real Estate,Real Estate Management & Development,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Matsubara,580-0043,http://www.housefreedom.co.jp,Nano Cap,,,BBG000LSSRP7,BBG000LSSP53,BBG001SQ4MT5,False
9035.F,"Daiichi Koutsu Sangyo Co.,Ltd.","Daiichi Koutsu Sangyo Co.,Ltd. provides passenger transportation services through taxi and bus in Japan. It also engages in the sale and lease of real estate properties, including condominiums, houses, stores, and offices; revitalization of real estate properties; management of condominiums and apartments; operation of auto gas station and hotels; sale of LPG; and provision of car maintenance, visit and home care, nursing care, and elderly housing services. In addition, the company offers real estate backed loans; and radiation shielding products and paints. Further, it is involved in the real estate agency and brokerage, non-life insurance agency, coin parking, golf driving range, mail order, and ship businesses, as well as system and software development, and information communication businesses. Daiichi Koutsu Sangyo Co.,Ltd. was founded in 1960 and is headquartered in Kitakyushu, Japan.",JPY,Industrials,Transportation,Road & Rail,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Kitakyushu,802-8515,http://www.daiichi-koutsu.co.jp,Micro Cap,,,BBG000BKJB61,BBG000BKJ7H8,BBG001SCQ7R7,False
9142.F,Kyushu Railway Company,,JPY,,,,FKA,XFKA,Fukuoka Stock Exchange,Japan,,,,,,JP3247010006,,BBG00DSWBZ91,BBG000CMHF23,BBG001SF85Y6,False
9407.F,RKB Mainichi Holdings Corporation,"RKB Mainichi Holdings Corporation engages in the radio and television broadcasting business in Japan. The company was founded in 1951 and is based in Fukuoka, Japan.",JPY,Communication Services,Media & Entertainment,Media,FKA,XFKA,Fukuoka Stock Exchange,Japan,,Fukuoka City,814-8585,http://rkb.jp,Micro Cap,,,,,,False
9942.F,"Joyfull Co., Ltd.","Joyfull Co., Ltd. operates a chain of family restaurants in Japan. The company's restaurants offer meals, hamburgers, snacks, desserts, alcoholic beverages, and others. As of May 31, 2018, it operated 801 Joyful stores. The company was founded in 1976 and is based in Oita, Japan.",JPY,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",FKA,XFKA,Fukuoka Stock Exchange,Japan,,Oita,870-0141,http://www.joyfull.co.jp,Micro Cap,,,BBG000BH6P25,BBG000BH6L15,BBG001S7B7P6,False
