symbol,name,cryptocurrency,currency,summary,exchange,website
ADA-INR,Cardano INR,ADA,INR,Cardano (ADA) is a cryptocurrency. Users are able to generate ADA through the process of mining.,CCC,https://www.cardano.org
ADA-JPY,Cardano JPY,ADA,JPY,Cardano (ADA) is a cryptocurrency. Users are able to generate ADA through the process of mining.,CCC,https://www.cardano.org
ADA-KRW,Cardano KRW,ADA,KRW,Cardano (ADA) is a cryptocurrency. Users are able to generate ADA through the process of mining.,CCC,https://www.cardano.org
ADA-RUB,Cardano RUB,ADA,RUB,Cardano (ADA) is a cryptocurrency. Users are able to generate ADA through the process of mining.,CCC,https://www.cardano.org
ADA-USD,Cardano USD,ADA,USD,Cardano (ADA) is a cryptocurrency. Users are able to generate ADA through the process of mining.,CCC,https://www.cardano.org
ADK-CAD,AidosKuneen CAD,ADK,CAD,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-CNY,AidosKuneen CNY,ADK,CNY,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-ETH,AidosKuneen ETH,ADK,ETH,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-EUR,AidosKuneen EUR,ADK,EUR,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-GBP,AidosKuneen GBP,ADK,GBP,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-INR,AidosKuneen INR,ADK,INR,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-JPY,AidosKuneen JPY,ADK,JPY,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-KRW,AidosKuneen KRW,ADK,KRW,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-RUB,AidosKuneen RUB,ADK,RUB,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADK-USD,AidosKuneen USD,ADK,USD,Aidos Kuneen (ADK) is a cryptocurrency.,CCC,http://aidoskuneen.com/
ADX-INR,AdEx INR,ADX,INR,AdEx Network (ADX) is a cryptocurrency and operates on the Ethereum platform.,CCC,https://www.adex.network/
ADX-USD,AdEx USD,ADX,USD,AdEx Network (ADX) is a cryptocurrency and operates on the Ethereum platform.,CCC,https://www.adex.network/
AE-CAD,Aeternity CAD,AE,CAD,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AE-CNY,Aeternity CNY,AE,CNY,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AE-ETH,Aeternity ETH,AE,ETH,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
AE-EUR,Aeternity EUR,AE,EUR,Aeternity (AE) is a cryptocurrency. Users are able to generate AE through the process of mining.,CCC,https://www.aeternity.com/
