symbol,name,currency,summary,category_group,category,family,exchange,mic,isin
2INVE.MC,Lyxor Ibex 35 Doble Inverso Diario UCITS ETF Acc,EUR,"The investment seeks to track the price and yield performance, before fees and expense, of the Ibex 35 TR Doble Inverso index.
 The index offers double reversed exposure of the IBEX 35 index.",Derivatives,,Lyxor International Asset Management,MCE,XMAD,
BBVAE.MC,Acci&#195&#179n Eurostoxx 50 ETF FI Cotizado Armonizado,EUR,"Fondo de inversión cotizado de renta variable que tiene como objetivo reproducir la evolución del índice bursátil EUROSTOXX 50. La cartera del Fondo estará por lo tanto invertida en acciones que forman el EUROSTOXX 50, en instrumentos derivados sobre el índice e incluso la inversión en otras IIC referenciadas a dicho índice. Si desea más información consulte el Folleto Informativo del Fondo y Otros datos de Interés.",Equities,Developed Markets,BBVA Asset Management,MCE,XMAD,
BBVAI.MC,Acci&#195&#179n IBEX 35 ETF FI Cotizado Armonizado,EUR,"Fondo de inversión cotizado de renta variable nacional que tiene como objetivo reproducir la evolución del índice bursátil español IBEX 35. La cartera del Fondo estará por lo tanto invertida en acciones que forman el IBEX-35, en instrumentos derivados sobre el índice e incluso la inversión en otras IIC referenciadas a dicho índice. Si desea más información consulte el Folleto Informativo del Fondo y Otros datos de Interés.",Equities,Developed Markets,BBVA Asset Management,MCE,XMAD,
IBEXA.MC,Lyxor Ibex 35 Doble Apalancado Diario UCITS ETF Acc,EUR,"The investment seeks to track the price and yield performance, before fees and expense, of the Ibex 35 Doble Apalancado index.
 The index provides leveraged exposure to the rise or fall in the index IBEX 35.",Derivatives,,Lyxor International Asset Management,MCE,XMAD,FR0011042753
LYXIB.MC,Lyxor Ibex 35 (DR) UCITS ETF Dist,EUR,"The investment seeks to track the price and yield performance, before fees and expense, of the Ibex35 index.
 The index includes 35 Spanish stocks selected according to a criterion of liquidity.",Equities,Large Cap,Lyxor International Asset Management,MCE,XMAD,FR0010251744
